pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
BNB-USD-LINK-USD,2.0,base,36,0.4928494928595159,-0.00577778586939572,-1.1469194328661765,0.25356770614321283,0.16666666666666666,-0.1974973407161683,-0.1301554663001817,0.035500000000000004,0.0284,0.0012639573686560384,0.0142,0.0007100000000000001,12000,False,False
BNB-USD-LINK-USD,2.0,stress,36,0.41806595500603655,-0.00745417475828461,-1.4498704448735247,0.2800143351254509,0.16666666666666666,-0.2448782717803436,-0.1301554663001817,0.05325,0.0568,0.0012639573686560384,0.0284,0.0007100000000000001,12000,False,False
ETH-USD-SOL-USD,1.25,stress,36,0.3360653683137125,-0.0032227357157580136,-1.0392075276221981,0.1569308859757278,0.19444444444444445,-0.11358385678216143,0.022484771914223822,0.053250000000000006,0.0568,0.003411934895833334,0.0284,0.0007100000000000001,12000,False,False
ETH-USD-SOL-USD,1.5,base,32,0.48637893636607216,-0.0020981462803271638,-0.6120527873767793,0.12549864953855713,0.3125,-0.06903452798611487,0.00188525549001195,0.0315,0.025200000000000004,0.003411934895833334,0.012600000000000002,0.0006300000000000001,12000,False,False
ETH-USD-SOL-USD,1.5,stress,32,0.29593231294566014,-0.0037715837803271642,-1.0806135853942682,0.16211524584210338,0.15625,-0.11771914660465421,0.00188525549001195,0.04725,0.05040000000000001,0.003411934895833334,0.025200000000000004,0.0006300000000000001,12000,False,False
BTC-USD-SOL-USD,1.5,base,32,0.28334095647426377,-0.004376880674516948,-1.2490668225102424,0.16781284183998,0.3125,-0.1346755734276852,-0.06692383693560755,0.0315,0.0252,0.0053921640625,0.0126,0.0006300000000000001,12000,False,False
BTC-USD-SOL-USD,1.5,stress,32,0.1741829871513277,-0.0060503181745169485,-1.6992111385906594,0.20822330884118503,0.1875,-0.17991833791083833,-0.06692383693560755,0.04725,0.0504,0.0053921640625,0.0252,0.0006300000000000001,12000,False,False
BTC-USD-ETH-USD,1.5,base,32,0.13218271369747364,-0.004442794609401907,-1.8676069448459194,0.13371011212203943,0.28125,-0.1343600726052926,-0.0668110919689695,0.0315,0.0252,0.005153317708333334,0.0126,0.0006300000000000001,12000,False,False
BTC-USD-ETH-USD,1.5,stress,32,0.05470577826644806,-0.006116232109401908,-2.4869068716171467,0.17830102297984285,0.09375,-0.17961622342201555,-0.0668110919689695,0.04725,0.0504,0.005153317708333334,0.0252,0.0006300000000000001,12000,False,False
BNB-USD-LINK-USD,2.25,base,30,0.5550831255710734,-0.005099636423682637,-0.8478853458426737,0.21400984428408715,0.2,-0.1520054338865966,-0.09312004835729693,0.0295,0.023600000000000003,0.0012639573686560384,0.011800000000000001,0.00059,12000,False,False
BNB-USD-LINK-USD,2.25,stress,30,0.471899545370156,-0.0067713030903493055,-1.1079835461760736,0.23661847704258218,0.2,-0.19379909440094922,-0.09312004835729693,0.044250000000000005,0.047200000000000006,0.0012639573686560384,0.023600000000000003,0.00059,12000,False,False
BTC-USD-SOL-USD,1.75,base,30,0.38199239379208233,-0.0035642407935191764,-0.957428061220023,0.14009507559550216,0.3333333333333333,-0.10549128700800747,-0.03977144334054994,0.0295,0.023600000000000003,0.005382109375,0.011800000000000001,0.00059,12000,False,False
BTC-USD-SOL-USD,1.75,stress,30,0.24253941755681896,-0.005235907460185844,-1.388947626597365,0.1797357203359894,0.26666666666666666,-0.14934376176921116,-0.03977144334054994,0.04425,0.047200000000000006,0.005382109375,0.023600000000000003,0.00059,12000,False,False
BTC-USD-ETH-USD,1.75,base,30,0.20580502054351546,-0.003919142429212602,-1.5515311259783964,0.12105738640221941,0.26666666666666666,-0.112788327368194,-0.04782046062490686,0.0295,0.023600000000000003,0.005143052083333334,0.011800000000000001,0.00059,12000,False,False
BTC-USD-ETH-USD,1.75,stress,30,0.10272788491392658,-0.005590809095879269,-2.1501225523294596,0.15642229582126255,0.16666666666666666,-0.15629105888655692,-0.04782046062490686,0.04425,0.047200000000000006,0.005143052083333334,0.023600000000000003,0.00059,12000,False,False
ETH-USD-SOL-USD,1.75,base,28,0.6594399494152455,-0.0014106918845104063,-0.3601368906404298,0.09568857777412342,0.35714285714285715,-0.0429408643367879,0.020859200284744306,0.027500000000000004,0.022000000000000002,0.003411502604166667,0.011000000000000001,0.00055,12000,False,False
ETH-USD-SOL-USD,1.75,stress,28,0.4200112453690788,-0.003080334741653264,-0.7735770018835654,0.13195431889181775,0.25,-0.08678817443191722,0.020859200284744306,0.04125,0.044000000000000004,0.003411502604166667,0.022000000000000002,0.00055,12000,False,False
BTC-USD-SOL-USD,2.0,base,26,0.5131559266041339,-0.002831481878889358,-0.6606427132393409,0.12365877845527302,0.4230769230769231,-0.07517573520419185,-0.016026853639874217,0.025500000000000002,0.0204,0.005380619791666667,0.0102,0.00051,12000,False,False
BTC-USD-SOL-USD,2.0,stress,26,0.3444424676112021,-0.00449878957119705,-1.039734110214982,0.14746644061082284,0.34615384615384615,-0.11448786117662912,-0.016026853639874217,0.038250000000000006,0.0408,0.005380619791666667,0.0204,0.00051,12000,False,False
BTC-USD-ETH-USD,2.0,base,25,0.23102376877998204,-0.004103210639521035,-1.3552762628527468,0.11270479115782918,0.32,-0.09938062364281797,-0.04410969886416305,0.0245,0.0196,0.0051373489583333345,0.0098,0.0004900000000000001,12000,False,False
BTC-USD-ETH-USD,2.0,stress,25,0.11831033591139287,-0.005769210639521035,-1.8591919032095998,0.1363472145720408,0.24,-0.13621285452002896,-0.04410969886416305,0.036750000000000005,0.0392,0.0051373489583333345,0.0196,0.0004900000000000001,12000,False,False
ETH-USD-SOL-USD,2.25,base,24,0.6752785127039342,-0.0014260205684543331,-0.31201867032418035,0.09613965212637526,0.375,-0.03788000797340241,0.01718146654328412,0.0235,0.0188,0.003405666666666667,0.0094,0.00047000000000000004,12000,False,False
ETH-USD-SOL-USD,2.0,base,24,0.6549932062279731,-0.0014958862363706968,-0.3273984566980353,0.09341851114770215,0.4166666666666667,-0.039489492837263995,0.01547734699857184,0.0235,0.0188,0.003405666666666667,0.0094,0.00047000000000000004,12000,False,False
ETH-USD-SOL-USD,2.25,stress,24,0.4423659879657052,-0.003090603901787666,-0.6660456406481744,0.12564049002580033,0.25,-0.07568484152185029,0.01718146654328412,0.035250000000000004,0.0376,0.003405666666666667,0.0188,0.00047000000000000004,12000,False,False
ETH-USD-SOL-USD,2.0,stress,24,0.42275343059629517,-0.00316046956970403,-0.6814336435424483,0.123535968463867,0.25,-0.0772293199570897,0.01547734699857184,0.035250000000000004,0.0376,0.003405666666666667,0.0188,0.00047000000000000004,12000,False,False
