combo_name,pair,families,strategies,component_count,total_trades,median_profit_factor,median_sharpe,worst_drawdown,eligible_rows
combo_3way_116,BTC-USD-SOL-USD,copula;hybrid;mean_reversion,Copula Risk Filter;ZScore + ECM;Hurst Filter,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_116,SOL-USD-LINK-USD,copula;hybrid;mean_reversion,Copula Risk Filter;ZScore + ECM;Hurst Filter,3,0,0.0,0.0,0.0,0
combo_3way_117,BTC-USD-SOL-USD,copula;hybrid;ml,Copula Risk Filter;ZScore + ECM;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_117,SOL-USD-LINK-USD,copula;hybrid;ml,Copula Risk Filter;ZScore + ECM;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_118,BTC-USD-SOL-USD,copula;hybrid;portfolio,Copula Risk Filter;ZScore + ECM;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_118,SOL-USD-LINK-USD,copula;hybrid;portfolio,Copula Risk Filter;ZScore + ECM;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_119,BTC-USD-SOL-USD,copula;hybrid;regime,Copula Risk Filter;ZScore + ECM;KMeans Regime Model,3,86,0.0,0.0,0.25198594387995527,0
combo_3way_119,SOL-USD-LINK-USD,copula;hybrid;regime,Copula Risk Filter;ZScore + ECM;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_120,BTC-USD-SOL-USD,copula;hybrid;zscore,Copula Risk Filter;ZScore + ECM;Classic ZScore Mean Reversion,3,118,0.0,0.0,0.2575112374854235,0
combo_3way_120,SOL-USD-LINK-USD,copula;hybrid;zscore,Copula Risk Filter;ZScore + ECM;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_121,BTC-USD-SOL-USD,copula;mean_reversion;ml,Copula Risk Filter;Hurst Filter;Feature Importance Model,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_121,SOL-USD-LINK-USD,copula;mean_reversion;ml,Copula Risk Filter;Hurst Filter;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_122,BTC-USD-SOL-USD,copula;mean_reversion;portfolio,Copula Risk Filter;Hurst Filter;Pair Ranking Strategy,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_122,SOL-USD-LINK-USD,copula;mean_reversion;portfolio,Copula Risk Filter;Hurst Filter;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_123,BTC-USD-SOL-USD,copula;mean_reversion;regime,Copula Risk Filter;Hurst Filter;KMeans Regime Model,3,120,0.2826611646069673,-1.1602192432928917,0.25198594387995527,0
combo_3way_123,SOL-USD-LINK-USD,copula;mean_reversion;regime,Copula Risk Filter;Hurst Filter;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_124,BTC-USD-SOL-USD,copula;mean_reversion;zscore,Copula Risk Filter;Hurst Filter;Classic ZScore Mean Reversion,3,152,0.5584279534142295,-1.1479605809858282,0.2575112374854235,0
combo_3way_124,SOL-USD-LINK-USD,copula;mean_reversion;zscore,Copula Risk Filter;Hurst Filter;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_125,BTC-USD-SOL-USD,copula;ml;portfolio,Copula Risk Filter;Feature Importance Model;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_125,SOL-USD-LINK-USD,copula;ml;portfolio,Copula Risk Filter;Feature Importance Model;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_126,BTC-USD-SOL-USD,copula;ml;regime,Copula Risk Filter;Feature Importance Model;KMeans Regime Model,3,86,0.0,0.0,0.25198594387995527,0
combo_3way_126,SOL-USD-LINK-USD,copula;ml;regime,Copula Risk Filter;Feature Importance Model;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_127,BTC-USD-SOL-USD,copula;ml;zscore,Copula Risk Filter;Feature Importance Model;Classic ZScore Mean Reversion,3,118,0.0,0.0,0.2575112374854235,0
combo_3way_127,SOL-USD-LINK-USD,copula;ml;zscore,Copula Risk Filter;Feature Importance Model;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_128,BTC-USD-SOL-USD,copula;portfolio;regime,Copula Risk Filter;Pair Ranking Strategy;KMeans Regime Model,3,86,0.0,0.0,0.25198594387995527,0
combo_3way_128,SOL-USD-LINK-USD,copula;portfolio;regime,Copula Risk Filter;Pair Ranking Strategy;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_129,BTC-USD-SOL-USD,copula;portfolio;zscore,Copula Risk Filter;Pair Ranking Strategy;Classic ZScore Mean Reversion,3,118,0.0,0.0,0.2575112374854235,0
combo_3way_129,SOL-USD-LINK-USD,copula;portfolio;zscore,Copula Risk Filter;Pair Ranking Strategy;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_130,BTC-USD-SOL-USD,copula;regime;zscore,Copula Risk Filter;KMeans Regime Model;Classic ZScore Mean Reversion,3,204,0.3229531658261544,-1.2380222996551553,0.2575112374854235,0
combo_3way_130,SOL-USD-LINK-USD,copula;regime;zscore,Copula Risk Filter;KMeans Regime Model;Classic ZScore Mean Reversion,3,32,0.4071464569608182,-0.876881313417597,0.07193196906596552,0
combo_3way_131,BTC-USD-SOL-USD,ecm;hybrid;mean_reversion,Pure ECM;ZScore + ECM;Hurst Filter,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_131,SOL-USD-LINK-USD,ecm;hybrid;mean_reversion,Pure ECM;ZScore + ECM;Hurst Filter,3,0,0.0,0.0,0.0,0
combo_3way_132,BTC-USD-SOL-USD,ecm;hybrid;ml,Pure ECM;ZScore + ECM;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_132,SOL-USD-LINK-USD,ecm;hybrid;ml,Pure ECM;ZScore + ECM;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_133,BTC-USD-SOL-USD,ecm;hybrid;portfolio,Pure ECM;ZScore + ECM;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_133,SOL-USD-LINK-USD,ecm;hybrid;portfolio,Pure ECM;ZScore + ECM;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_134,BTC-USD-SOL-USD,ecm;hybrid;regime,Pure ECM;ZScore + ECM;KMeans Regime Model,3,86,0.0,0.0,0.25198594387995527,0
combo_3way_134,SOL-USD-LINK-USD,ecm;hybrid;regime,Pure ECM;ZScore + ECM;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_135,BTC-USD-SOL-USD,ecm;hybrid;zscore,Pure ECM;ZScore + ECM;Classic ZScore Mean Reversion,3,118,0.0,0.0,0.2575112374854235,0
combo_3way_135,SOL-USD-LINK-USD,ecm;hybrid;zscore,Pure ECM;ZScore + ECM;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_136,BTC-USD-SOL-USD,ecm;mean_reversion;ml,Pure ECM;Hurst Filter;Feature Importance Model,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_136,SOL-USD-LINK-USD,ecm;mean_reversion;ml,Pure ECM;Hurst Filter;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_137,BTC-USD-SOL-USD,ecm;mean_reversion;portfolio,Pure ECM;Hurst Filter;Pair Ranking Strategy,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_137,SOL-USD-LINK-USD,ecm;mean_reversion;portfolio,Pure ECM;Hurst Filter;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_138,BTC-USD-SOL-USD,ecm;mean_reversion;regime,Pure ECM;Hurst Filter;KMeans Regime Model,3,120,0.2826611646069673,-1.1602192432928917,0.25198594387995527,0
combo_3way_138,SOL-USD-LINK-USD,ecm;mean_reversion;regime,Pure ECM;Hurst Filter;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_139,BTC-USD-SOL-USD,ecm;mean_reversion;zscore,Pure ECM;Hurst Filter;Classic ZScore Mean Reversion,3,152,0.5584279534142295,-1.1479605809858282,0.2575112374854235,0
combo_3way_139,SOL-USD-LINK-USD,ecm;mean_reversion;zscore,Pure ECM;Hurst Filter;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_140,BTC-USD-SOL-USD,ecm;ml;portfolio,Pure ECM;Feature Importance Model;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
