pair,asset_x,asset_y,exchange,interval,period,exact_mode,spread_id,strategy_id,mode_valid,mode_source,mode_blocker,sharpe,returns_total,returns_total_pct,discovery_min_sharpe,discovery_min_returns_total,passes_sharpe_gate,passes_sharpe_gt_2,passes_returns_total_gt_20pct,hurst,half_life,pearson,spearman,kendall,copula,corr_copula,u1_given_u2,u2_given_u1,ecm_x_available,ecm_y_available,ecm_strength_available,hedge_ratio,closed_trades,drawdown,source_system,source_path,evidence_path
ETHUSD-SHIBUSDT,ETHUSD,SHIBUSDT,,,,,,,False,missing,missing_exact_mode,3.15,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-VTHOUSDT,ETHUSDT,VTHOUSDT,,,,,,,False,missing,missing_exact_mode,3.15,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-KMNOUSDT,ETHUSDT,KMNOUSDT,,,,,,,False,missing,missing_exact_mode,3.13,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_bybit_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHPERP/KMNOUSDT,ETHPERP,KMNOUSDT,,,,,,,False,missing,missing_exact_mode,3.12,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHPERP-KMNOUSDT,ETHPERP,KMNOUSDT,,,,,,,False,missing,missing_exact_mode,3.12,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_bybit_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSD-ONEUSD,ETHUSD,ONEUSD,,,,,,,False,missing,missing_exact_mode,3.1,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-ONEUSD,ETHUSDT,ONEUSD,,,,,,,False,missing,missing_exact_mode,3.1,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHBTC-TRUMPUSDT,ETHBTC,TRUMPUSDT,,,,,,,False,missing,missing_exact_mode,3.09,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-ONEUSDT,ETHUSDT,ONEUSDT,,,,,,,False,missing,missing_exact_mode,3.09,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-IDUSDT,ETHUSDT,IDUSDT,,,,,,,False,missing,missing_exact_mode,3.08,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-GALAUSDT,ETHUSDT,GALAUSDT,,,,,,,False,missing,missing_exact_mode,3.07,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDC-GALAUSDT,ETHUSDC,GALAUSDT,,,,,,,False,missing,missing_exact_mode,3.06,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSD-ONEUSDT,ETHUSD,ONEUSDT,,,,,,,False,missing,missing_exact_mode,3.06,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-FLUXUSDT,ETHUSDT,FLUXUSDT,,,,,,,False,missing,missing_exact_mode,3.02,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDC-FLUXUSDT,ETHUSDC,FLUXUSDT,,,,,,,False,missing,missing_exact_mode,3.01,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-RUNEUSDT,ETHUSDT,RUNEUSDT,,,,,,,False,missing,missing_exact_mode,3.01,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-JOEUSDT,ETHUSDT,JOEUSDT,,,,,,,False,missing,missing_exact_mode,3.01,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDC-ICXUSDT,ETHUSDC,ICXUSDT,,,,,,,False,missing,missing_exact_mode,3.01,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDC-JOEUSDT,ETHUSDC,JOEUSDT,,,,,,,False,missing,missing_exact_mode,3.01,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDC-NEOUSDT,ETHUSDC,NEOUSDT,,,,,,,False,missing,missing_exact_mode,3.01,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDC-RUNEUSDT,ETHUSDC,RUNEUSDT,,,,,,,False,missing,missing_exact_mode,3.0,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binance_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT/GIGAUSDT,ETHUSDT,GIGAUSDT,,,,,,,False,missing,missing_exact_mode,2.99,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
ETHBTC-VTHOUSDT,ETHBTC,VTHOUSDT,,,,,,,False,missing,missing_exact_mode,2.99,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSD-MANAUSDT,ETHUSD,MANAUSDT,,,,,,,False,missing,missing_exact_mode,2.99,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_binanceus_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
ETHUSDT-GIGAUSDT,ETHUSDT,GIGAUSDT,,,,,,,False,missing,missing_exact_mode,2.99,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,data/raw/crypto_wizards_scanner_2026-06-25/scanner_bybit_sharpe.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_multi_venue_sharpe_rows_2026-06-25.csv
